sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00004405900,RNA020018,RNA020018_S47_R2_001.fastq.gz,EGAF00008256641
EGAN00004405901,RNA019977,RNA019977_S10_R1_001.fastq.gz,EGAF00008256566
EGAN00004405901,RNA019977,RNA019977_S10_R2_001.fastq.gz,EGAF00008256567
EGAN00004405902,RNA020037,RNA020037_S64_R1_001.fastq.gz,EGAF00008256674
EGAN00004405902,RNA020037,RNA020037_S64_R2_001.fastq.gz,EGAF00008256675
EGAN00004405903,RNA019989,RNA019989_S22_R1_001.fastq.gz,EGAF00008256590
EGAN00004405903,RNA019989,RNA019989_S22_R2_001.fastq.gz,EGAF00008256591
EGAN00004405904,RNA020039,RNA020039_S66_R1_001.fastq.gz,EGAF00008256678
EGAN00004405904,RNA020039,RNA020039_S66_R2_001.fastq.gz,EGAF00008256679
EGAN00004405905,RNA020017,RNA020017_S46_R1_001.fastq.gz,EGAF00008256638
EGAN00004405905,RNA020017,RNA020017_S46_R2_001.fastq.gz,EGAF00008256639
EGAN00004405906,RNA020019,RNA020019_S48_R1_001.fastq.gz,EGAF00008256642
EGAN00004405906,RNA020019,RNA020019_S48_R2_001.fastq.gz,EGAF00008256643
EGAN00004405907,RNA020022,RNA020022_S51_R1_001.fastq.gz,EGAF00008256648
EGAN00004405907,RNA020022,RNA020022_S51_R2_001.fastq.gz,EGAF00008256649
EGAN00004405908,RNA020025,RNA020025_S54_R1_001.fastq.gz,EGAF00008256654
EGAN00004405908,RNA020025,RNA020025_S54_R2_001.fastq.gz,EGAF00008256655
EGAN00004405909,RNA020024,RNA020024_S53_R1_001.fastq.gz,EGAF00008256652
EGAN00004405909,RNA020024,RNA020024_S53_R2_001.fastq.gz,EGAF00008256653
EGAN00004405910,RNA020148,RNA020148_S153_R1_001.fastq.gz,EGAF00008256816
EGAN00004405910,RNA020148,RNA020148_S153_R2_001.fastq.gz,EGAF00008256817
EGAN00004405911,RNA020158,RNA020158_S163_R1_001.fastq.gz,EGAF00008256834
EGAN00004405911,RNA020158,RNA020158_S163_R2_001.fastq.gz,EGAF00008256835
EGAN00004405912,RNA020126,RNA020126_S132_R1_001.fastq.gz,EGAF00008256780
EGAN00004405912,RNA020126,RNA020126_S132_R2_001.fastq.gz,EGAF00008256781
EGAN00004405913,RNA020119,RNA020119_S125_R1_001.fastq.gz,EGAF00008256766
EGAN00004405913,RNA020119,RNA020119_S125_R2_001.fastq.gz,EGAF00008256767
EGAN00004405914,RNA020127,RNA020127_S133_R1_001.fastq.gz,EGAF00008256782
EGAN00004405914,RNA020127,RNA020127_S133_R2_001.fastq.gz,EGAF00008256783
EGAN00004405915,RNA020167,RNA020167_S172_R1_001.fastq.gz,EGAF00008256852
EGAN00004405915,RNA020167,RNA020167_S172_R2_001.fastq.gz,EGAF00008256853
EGAN00004405916,RNA020138,RNA020138_S143_R1_001.fastq.gz,EGAF00008256796
EGAN00004405916,RNA020138,RNA020138_S143_R2_001.fastq.gz,EGAF00008256797
EGAN00004405917,RNA020176,RNA020176_S179_R1_001.fastq.gz,EGAF00008256866
EGAN00004405917,RNA020176,RNA020176_S179_R2_001.fastq.gz,EGAF00008256867
EGAN00004405918,RNA020170,RNA020170_S174_R1_001.fastq.gz,EGAF00008256856
EGAN00004405918,RNA020170,RNA020170_S174_R2_001.fastq.gz,EGAF00008256857
EGAN00004405919,RNA020085,RNA020085_S102_R1_001.fastq.gz,EGAF00008256728
EGAN00004405919,RNA020085,RNA020085_S102_R2_001.fastq.gz,EGAF00008256729
EGAN00004405920,RNA020088,RNA020088_S104_R1_001.fastq.gz,EGAF00008256732
EGAN00004405920,RNA020088,RNA020088_S104_R2_001.fastq.gz,EGAF00008256733
EGAN00004405921,RNA020073,RNA020073_S93_R1_001.fastq.gz,EGAF00008256712
EGAN00004405921,RNA020073,RNA020073_S93_R2_001.fastq.gz,EGAF00008256713
EGAN00004405922,RNA020078,RNA020078_S97_R1_001.fastq.gz,EGAF00008256718
EGAN00004405922,RNA020078,RNA020078_S97_R2_001.fastq.gz,EGAF00008256719
EGAN00004405923,RNA020081,RNA020081_S99_R1_001.fastq.gz,EGAF00008256722
EGAN00004405923,RNA020081,RNA020081_S99_R2_001.fastq.gz,EGAF00008256723
EGAN00004405924,RNA018525,RNA018525_S82_R1_001.fastq.gz,EGAF00008256436
EGAN00004405924,RNA018525,RNA018525_S82_R2_001.fastq.gz,EGAF00008256437
EGAN00004405925,RNA018520,RNA018520_S33_R1_001.fastq.gz,EGAF00008256434
EGAN00004405925,RNA018520,RNA018520_S33_R2_001.fastq.gz,EGAF00008256435
EGAN00004405926,RNA018536,RNA018536_S46_R1_001.fastq.gz,EGAF00008256444
EGAN00004405926,RNA018536,RNA018536_S46_R2_001.fastq.gz,EGAF00008256445
EGAN00004405927,RNA018533,RNA018533_S43_R1_001.fastq.gz,EGAF00008256442
EGAN00004405927,RNA018533,RNA018533_S43_R2_001.fastq.gz,EGAF00008256443
EGAN00004405928,RNA018547,RNA018547_S54_R1_001.fastq.gz,EGAF00008256460
EGAN00004405928,RNA018547,RNA018547_S54_R2_001.fastq.gz,EGAF00008256461
EGAN00004405929,RNA018567,RNA018567_S68_R1_001.fastq.gz,EGAF00008256480
EGAN00004405929,RNA018567,RNA018567_S68_R2_001.fastq.gz,EGAF00008256481
EGAN00004405930,RNA018573,RNA018573_S94_R1_001.fastq.gz,EGAF00008256490
EGAN00004405930,RNA018573,RNA018573_S94_R2_001.fastq.gz,EGAF00008256491
EGAN00004405931,RNA018543,RNA018543_S50_R1_001.fastq.gz,EGAF00008256454
EGAN00004405931,RNA018543,RNA018543_S50_R2_001.fastq.gz,EGAF00008256455
EGAN00004405932,RNA018555,RNA018555_S59_R1_001.fastq.gz,EGAF00008256468
EGAN00004405932,RNA018555,RNA018555_S59_R2_001.fastq.gz,EGAF00008256469
EGAN00004405933,RNA018541,RNA018541_S48_R1_001.fastq.gz,EGAF00008256450
EGAN00004405933,RNA018541,RNA018541_S48_R2_001.fastq.gz,EGAF00008256451
EGAN00004405934,RNA018497,RNA018497_S18_R1_001.fastq.gz,EGAF00008256420
EGAN00004405934,RNA018497,RNA018497_S18_R2_001.fastq.gz,EGAF00008256421
EGAN00004405935,RNA018578,RNA018578_S99_R1_001.fastq.gz,EGAF00008256498
EGAN00004405935,RNA018578,RNA018578_S99_R2_001.fastq.gz,EGAF00008256499
EGAN00004405936,RNA018577,RNA018577_S98_R1_001.fastq.gz,EGAF00008256496
EGAN00004405936,RNA018577,RNA018577_S98_R2_001.fastq.gz,EGAF00008256497
EGAN00004405937,RNA018545,RNA018545_S52_R1_001.fastq.gz,EGAF00008256456
EGAN00004405937,RNA018545,RNA018545_S52_R2_001.fastq.gz,EGAF00008256457
EGAN00004405938,RNA018569,RNA018569_S70_R1_001.fastq.gz,EGAF00008256484
EGAN00004405938,RNA018569,RNA018569_S70_R2_001.fastq.gz,EGAF00008256485
EGAN00004405939,RNA018572,RNA018572_S73_R1_001.fastq.gz,EGAF00008256488
EGAN00004405939,RNA018572,RNA018572_S73_R2_001.fastq.gz,EGAF00008256489
EGAN00004405940,RNA018570,RNA018570_S71_R1_001.fastq.gz,EGAF00008256486
EGAN00004405940,RNA018570,RNA018570_S71_R2_001.fastq.gz,EGAF00008256487
EGAN00004405941,RNA018504,RNA018504_S22_R1_001.fastq.gz,EGAF00008256424
EGAN00004405941,RNA018504,RNA018504_S22_R2_001.fastq.gz,EGAF00008256425
EGAN00004405942,RNA018494,RNA018494_S15_R1_001.fastq.gz,EGAF00008256418
EGAN00004405942,RNA018494,RNA018494_S15_R2_001.fastq.gz,EGAF00008256419
EGAN00004405943,RNA018600,RNA018600_S121_R1_001.fastq.gz,EGAF00008256528
EGAN00004405943,RNA018600,RNA018600_S121_R2_001.fastq.gz,EGAF00008256529
EGAN00004405944,RNA018503,RNA018503_S21_R1_001.fastq.gz,EGAF00008256422
EGAN00004405944,RNA018503,RNA018503_S21_R2_001.fastq.gz,EGAF00008256423
EGAN00004405945,RNA018558,RNA018558_S62_R1_001.fastq.gz,EGAF00008256470
EGAN00004405945,RNA018558,RNA018558_S62_R2_001.fastq.gz,EGAF00008256471
EGAN00004405946,RNA018510,RNA018510_S27_R1_001.fastq.gz,EGAF00008256428
