	human	fungi	other_eukaryotes	bacteria	other	unclassified	dataset_short_name	sample_name	dataset_batch
469	91.29816257198492	0.2349090607780585	0.0427766499564983	2.803838505199486	5.283796660728343	0.336516551352695	chen	SRR14506793	chen
642	85.91293642512368	0.3158350411246149	1.702886855386987	3.5909908692595067	3.85197640870886	4.625374400396358	decruyenaere	RNA020069_S89	decruyenaere
1139	64.20835133967157	0.6586318384071194	2.6326767021991744	6.640937610038733	6.921686433624635	18.937716076058773	moufarrej	SRR17333071	moufarrej_site_1
1851	98.466387121872	0.0129505309717698	0.1924578907735217	0.3779154945352759	0.587574090537712	0.3627148713097237	tao	SRR16575254	tao
2044	93.4705780527853	0.0441261668169224	0.844450759300265	2.1047981453001627	2.247082519934321	1.2889643558630268	toden	SRRISOLATE_1900	toden
227	93.93403585041564	0.0542395820783808	0.5390122551721133	0.9909233289159004	3.653020473135258	0.8287685102827071	chalasani	X12972	chalasani
474	91.3030396485712	0.8461270369005264	0.4171211220849035	2.103457872922982	3.0255573190515235	2.3046970004688725	chen	SRR14506798	chen
616	86.01145153651534	1.0329287937278109	0.8773443317694869	6.043388610577243	2.0776101906572304	3.9572765367528895	decruyenaere	RNA020024_S53	decruyenaere
1215	64.38639809270083	0.611781812654258	4.83765155788101	8.244778728493882	8.449239360446743	13.470150447823286	moufarrej	SRR17333147	moufarrej_site_1
1746	98.87047445983023	0.0147257553461003	0.0926620659533524	0.1871272856225538	0.537339807323008	0.2976706259247423	tao	SRR16575149	tao
2041	93.51876350101304	0.0627692387716835	0.4472370781644574	2.523473444610773	2.211727894599695	1.2360288428403303	toden	SRRISOLATE_1890	toden
94	93.98931996500504	0.0555219255917094	0.321826688058665	0.3642060114039919	4.433734832406762	0.8353905775338353	chalasani	X10772	chalasani
358	91.323283970117	0.1870063824243009	1.318397496845299	2.1358439569530216	3.2315743196573763	1.803893874003012	chen	SRR14506682	chen
581	86.2252950590118	0.9797959591918384	0.756751350270054	4.6330766153230645	2.183036607321464	5.222044408881777	decruyenaere	RNA019985_S18	decruyenaere
1358	64.4794546370005	0.8258545421999821	3.904221473218103	12.483668660177631	10.70605888332386	7.600741804079922	moufarrej	SRR17333311	moufarrej_site_1
1816	98.87963804540502	0.0131062915220873	0.0495628725375487	0.2808562777127764	0.4974364897233618	0.2794000230992111	tao	SRR16575219	tao
2055	93.5540801748046	0.0440213063122551	0.9019365372840454	1.0234453475482137	3.5770813073527585	0.8994353266981219	toden	SRRISOLATE_1928	toden
160	94.00239289259986	0.0498943563373469	0.522668838937963	0.6639004149377593	3.9256675915790544	0.8354759056080238	chalasani	X12900	chalasani
373	91.38956028362809	0.1368871596151756	0.0244234122935746	1.7019900597239468	6.351986208948358	0.3951528757908596	chen	SRR14506697	chen
687	86.35426251150137	0.3681441773012761	1.2896047525703085	1.6275453054366524	6.233648037764532	4.126795215425851	decruyenaere	RNA020137_S142	decruyenaere
1288	64.59376173468597	0.9997764940770932	3.5440439171638047	3.923853982130528	8.701030577310298	18.237533294632307	moufarrej	SRR17333241	moufarrej_site_1
1762	98.9299768530096	0.0311093950373012	0.0674203609490066	0.4512362733545531	0.2219170189397198	0.2983400987098104	tao	SRR16575165	tao
2129	93.55583135981054	0.048454651646558	0.6773150222421352	1.2977745863602903	3.5617919320254745	0.8588324479149999	toden	SRRISOLATE_2572	toden
146	94.11787238782536	0.0516122008420248	0.4684412056892371	0.8218134128214989	3.604739250020287	0.9355215428015848	chalasani	X12885	chalasani
448	91.43645830193412	0.5325646636397402	0.1707435826826565	2.3244015672442075	4.105049708249183	1.4307821762500887	chen	SRR14506772	chen
663	86.40347213921366	0.2053055351472573	1.789384028379677	1.5138094854658186	7.308827037713701	2.7792017740798887	decruyenaere	RNA020104_S112	decruyenaere
1065	64.96236202952537	0.381004762559532	1.076163452043151	28.193302416280204	2.6997837472968413	2.6873835922949034	moufarrej	SRR17332997	moufarrej_site_1
1741	99.05661939311172	0.0078268028864847	0.0260893429549492	0.2588363852011212	0.5178232858423673	0.1328047900033665	tao	SRR16575144	tao
2054	93.56583691837216	0.0373634321538593	0.9298342754220142	1.890229537518738	1.9682075706216384	1.6085282659115951	toden	SRRISOLATE_1926	toden
313	94.16462138858016	0.0204070661112141	0.1418620240956981	0.4911410292841398	3.859184660908071	1.3227838310207154	chalasani	X14872	chalasani
475	91.50597258958884	0.088151322269834	0.1194517917768766	7.390710860662909	0.5319079786196792	0.3638054570818562	chen	SRR14506799	chen
691	86.59504409113752	0.7180092357619503	1.0161838351664012	2.4711038660689506	5.739373498313611	3.460285473551568	decruyenaere	RNA020141_S146	decruyenaere
1356	65.12496281240703	0.5757514393785985	4.151360378400946	5.240063100157751	13.58083395208488	11.327028317570791	moufarrej	SRR17333309	moufarrej_site_1
1776	99.10853733438624	0.0141390591509043	0.0390578974416826	0.1890723122626255	0.4502437984933378	0.1989495982652076	tao	SRR16575179	tao
2096	93.64272527068086	0.0454551818907355	1.0232666523983736	0.6781773122135923	3.980003720424128	0.6303718623923127	toden	SRRISOLATE_2529	toden
249	94.27288917966052	0.0318810328623871	0.5699124050448878	0.8868015639360094	3.542221599140147	0.6962942193560447	chalasani	X12998	chalasani
362	91.58399550284872	0.1713938768324691	1.3701507585942	3.2241753888995586	2.3342475673772487	1.3160369054477947	chen	SRR14506686	chen
568	86.59787779802909	0.6738634152052284	1.047992943670942	5.191685098808119	1.5944281816894663	4.894152562597153	decruyenaere	RNA019972_S5	decruyenaere
1126	65.32022576406375	0.4078573414321457	3.204607682938293	5.646001628029305	8.392251060519088	17.029056523017413	moufarrej	SRR17333058	moufarrej_site_1
1748	99.17921762355162	0.0109946382312187	0.016768078398297	0.2269213004799485	0.4397353254212101	0.1263630339177058	tao	SRR16575151	tao
2183	93.67366259033712	0.0252551394208721	0.9894513533504068	1.4672485850870651	3.1581926922128654	0.6861896395916569	toden	SRRISOLATE_5673	toden
153	94.3378146868376	0.0202182495512731	0.3155337456565715	0.7680783951871962	3.768283803999127	0.7900711187682353	chalasani	X12892	chalasani
383	91.7546341495148	0.0042034236885943	0.0397323620088562	7.668345867709249	0.1824986451464718	0.3505855519320486	chen	SRR14506707	chen
721	86.70152297110151	0.2776267638001907	1.383232463776234	1.726577398650727	5.167428794061558	4.74361160860978	decruyenaere	RNA020174_S177	decruyenaere
1275	65.59727156998727	2.549578045358498	2.0698227680504484	17.940847349320844	3.8759426353689888	7.966537631913952	moufarrej	SRR17333228	moufarrej_site_1
